Название;"Старый URI";"Новый URI";"Ошибка (требует ручной настройки)"
"Новая коллекция напольных покрытий и стеновых панелей от Buxkin из отходов кожи";/about/news/novaya-kollektsiya-napolnykh-pokrytiy-i-stenovykh-paneley-ot-buxkin-iz-otkhodov-kozhi.html;/novosti/novaya-kollektsiya-napolnykh-pokrytiy-i-stenovykh-paneley-ot-buxkin-iz-otkhodov-kozhi;0
"Новинка, которая позволит изменить дизайн интерьера за несколько минут";/about/news/novinka-kotoraya-pozvolit-izmenit-dizayn-interera-za-neskolko-minut.html;/novosti/novinka-kotoraya-pozvolit-izmenit-dizayn-interera-za-neskolko-minut;0
"Новинки с Международной выставки мебели «Imm cologne - 2012»";/about/news/novinki-s-mezhdunarodnoy-vystavki-mebeli-imm-cologne-2012.html;/novosti/novinki-s-mezhdunarodnoy-vystavki-mebeli-imm-cologne-2012;0
"Новое слово в напольных покрытиях";/about/news/novoe-slovo-v-napolnykh-pokrytiyakh.html;/novosti/novoe-slovo-v-napolnykh-pokrytiyakh;0
"Новости в мире напольных покрытий";/about/news/novosti-v-mire-napolnykh-pokrytiy.html;/novosti/novosti-v-mire-napolnykh-pokrytiy;0
"Новые коллекции дверей от компании ERGOHAUS";/about/news/novye-kollektsii-dverey-ot-kompanii-ergohaus.html;/novosti/novye-kollektsii-dverey-ot-kompanii-ergohaus;0
"Новые коллекции напольной керамики от Serenissima";/about/news/novye-kollektsii-napolnoy-keramiki-ot-serenissima.html;/novosti/novye-kollektsii-napolnoy-keramiki-ot-serenissima;0
"Новые возможности в дизайне профилированного стекла";/about/news/novye-vozmozhnosti-v-dizayne-profilirovannogo-stekla.html;/novosti/novye-vozmozhnosti-v-dizayne-profilirovannogo-stekla;0
"Новый класс ламината - 34";/about/news/novyy-klass-laminata-34.html;/novosti/novyy-klass-laminata-34;0
"Новый модный оконный дизайн: стеклопакеты с кристаллами Swarovski";/about/news/novyy-modnyy-okonnyy-dizayn-steklopakety-s-kristallami-swarovski.html;/novosti/novyy-modnyy-okonnyy-dizayn-steklopakety-s-kristallami-swarovski;0
"Перспективы в сфере дизайна открыл новый материал FluidSolids";/about/news/perspektivy-v-sfere-dizayna-otkryl-novyy-material-fluidsolids.html;/novosti/perspektivy-v-sfere-dizayna-otkryl-novyy-material-fluidsolids;0
"Покрытие с электронными сенсорами превратит полы в гигантский сенсорный экран";/about/news/pokrytie-s-elektronnymi-sensorami-prevratit-poly-v-gigantskiy-sensornyy-ekran.html;/novosti/pokrytie-s-elektronnymi-sensorami-prevratit-poly-v-gigantskiy-sensornyy-ekran;0
"Потолочные обои";/about/news/potolochnye-oboi.html;/novosti/potolochnye-oboi;0
"Поздравляем с Днём Святого Валентина!";/about/news/pozdravlyaem-s-dnyem-svyatogo-valentina.html;/novosti/pozdravlyaem-s-dnyem-svyatogo-valentina;0
